first name,last name,nickname,link,height(ft),weight(lb),reach(inch),stance,wins,losses,draws,belt,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc.,TD Def,Sub. Avg
Tom,Aaron,,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,--,155 lbs.,--,,5,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Danny,Abbadi,The Assassin,http://ufcstats.com/fighter-details/15df64c02b6b0fde,"5' 11""",155 lbs.,--,Orthodox,4,6,0,0,3.29,38%,4.41,57%,0.00,0%,77%,0.0
David,Abbott,Tank,http://ufcstats.com/fighter-details/b361180739bed4b0,"6' 0""",265 lbs.,--,Switch,10,15,0,0,1.35,30%,3.55,38%,1.07,33%,66%,0.0
Shamil,Abdurakhimov,Abrek,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,"6' 3""",235 lbs.,"76.0""",Orthodox,20,5,0,0,2.45,44%,2.45,58%,1.23,24%,47%,0.2
Hiroyuki,Abe,Abe Ani,http://ufcstats.com/fighter-details/c0ed7b208197e8de,"5' 6""",145 lbs.,--,Orthodox,8,15,3,0,1.71,36%,3.11,63%,0.00,0%,33%,0.0
Daichi,Abe,,http://ufcstats.com/fighter-details/5140122c3eecd307,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,0,3.80,33%,4.49,56%,0.33,50%,0%,0.0
Papy,Abedi,Makambo,http://ufcstats.com/fighter-details/c9f6385af6df66d7,"5' 11""",185 lbs.,--,Southpaw,10,4,0,0,2.80,55%,3.15,48%,3.47,57%,50%,1.3
Ricardo,Abreu,Demente,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,"5' 11""",185 lbs.,--,Orthodox,5,1,0,0,3.79,31%,3.98,68%,2.13,42%,100%,0.7
Klidson,Abreu,White Bear,http://ufcstats.com/fighter-details/7279654c7674cd24,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,0,2.05,40%,2.90,55%,0.64,20%,80%,0.0
Daniel,Acacio,,http://ufcstats.com/fighter-details/1c5879330d42255f,"5' 8""",180 lbs.,--,Orthodox,30,18,0,0,3.52,36%,2.85,62%,0.33,20%,81%,0.0
Scott,Adams,,http://ufcstats.com/fighter-details/2620f3eb21c79614,"6' 0""",225 lbs.,--,Southpaw,8,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Juan,Adams,The Kraken,http://ufcstats.com/fighter-details/83b00f7597e5ac83,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,0,7.09,55%,4.06,34%,0.91,66%,57%,0.0
Anthony,Adams,Sugafoot,http://ufcstats.com/fighter-details/a77633a989013265,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,0,3.17,41%,5.93,44%,0.00,0%,0%,0.0
Zarrukh,Adashev,The Lion,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,"5' 5""",125 lbs.,"65.0""",Southpaw,3,2,0,0,3.75,33%,3.75,33%,0.00,0%,0%,0.0
Israel,Adesanya,The Last Stylebender,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,"6' 4""",185 lbs.,"80.0""",Switch,20,0,0,1,4.10,50%,2.33,65%,0.00,0%,86%,0.3
Sam,Adkins,The Experience,http://ufcstats.com/fighter-details/0e9869d712e81f8f,"6' 3""",225 lbs.,--,Orthodox,7,20,2,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nick,Agallar,,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,"5' 8""",155 lbs.,--,Orthodox,24,6,0,0,0.69,11%,4.56,42%,0.00,0%,0%,0.0
Mariya,Agapova,,http://ufcstats.com/fighter-details/a08ddd04eaffd81d,"5' 6""",125 lbs.,"68.0""",Southpaw,9,2,0,0,3.70,50%,4.15,47%,1.23,66%,33%,0.6
Marcelo,Aguiar,,http://ufcstats.com/fighter-details/44aa652b181bcf68,"5' 10""",170 lbs.,--,Orthodox,2,3,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
