fight date,fight weightclass,win method,rounds,time,Winner,KD W,TD succeeded W,TD attempted W,TD % W,sub attempts W,pass W,str landed W,str total W,sig str landed W,sig str total W,sig str % W,dist str landed W,dist str total W,clinch str landed W,clinch str total W,ground str landed W,ground str total W,Loser,KD L,TD succeeded L,TD attempted L,TD % L,sub attempts L,pass L,str landed L,str total L,sig str landed L,sig str total L,sig str % L,dist str landed L,dist str total L,clinch str landed L,clinch str total L,ground str landed L,ground str total L
"December 12, 2020",Flyweight,M-DEC,5,5:00,Deiveson Figueiredo,0,2 , 4,50,2,0,147 , 248,137 , 238,57,126 , 220,3 , 7,8 , 11,Brandon Moreno,0,4 , 8,50,4,0,139 , 256,132 , 248,53,129 , 240,1 , 5,2 , 3
"December 12, 2020",Lightweight,U-DEC,3,5:00,Charles Oliveira,0,0 , 0,--,3,3,26 , 49,19 , 42,45,15 , 38,1 , 1,3 , 3,Tony Ferguson,0,3 , 3,100,0,0,86 , 112,41 , 63,65,17 , 34,0 , 0,24 , 29
"December 12, 2020",Women's Strawweight,U-DEC,3,5:00,Mackenzie Dern,0,0 , 5,0,0,0,101 , 195,82 , 174,47,62 , 150,17 , 21,3 , 3,Virna Jandiroba,0,1 , 1,100,1,0,80 , 152,63 , 134,47,43 , 109,18 , 23,2 , 2
"December 12, 2020",Middleweight,KO/TKO,1,1:45,Kevin Holland,0,0 , 0,--,0,0,21 , 24,15 , 18,83,1 , 2,2 , 2,12 , 14,Jacare Souza,0,2 , 3,66,2,0,2 , 2,2 , 2,100,0 , 0,0 , 0,2 , 2
"December 12, 2020",Heavyweight,KO/TKO,2,2:34,Ciryl Gane,0,0 , 1,0,0,0,11 , 36,10 , 35,28,10 , 35,0 , 0,0 , 0,Junior Dos Santos,1,0 , 0,--,0,0,61 , 82,59 , 80,73,53 , 74,4 , 4,2 , 2
"December 12, 2020",Featherweight,KO/TKO,2,1:52,Cub Swanson,2,1 , 1,100,1,0,51 , 71,46 , 66,69,37 , 54,3 , 3,6 , 9,Daniel Pineda,0,1 , 2,50,1,1,40 , 65,21 , 45,46,19 , 43,2 , 2,0 , 0
"December 12, 2020",Lightweight,KO/TKO,1,4:05,Rafael Fiziev,0,0 , 1,0,0,0,15 , 37,15 , 37,40,14 , 35,1 , 2,0 , 0,Renato Moicano,1,0 , 1,0,0,0,21 , 35,21 , 35,60,20 , 34,0 , 0,1 , 1
"December 12, 2020",Featherweight,U-DEC,3,5:00,Gavin Tucker,0,7 , 13,53,7,0,123 , 183,106 , 166,63,71 , 122,32 , 41,3 , 3,Billy Quarantillo,0,0 , 3,0,0,0,136 , 233,84 , 178,47,55 , 138,29 , 35,0 , 5
"December 12, 2020",Women's Strawweight,KO/TKO,1,5:00,Tecia Torres,0,1 , 1,100,1,0,52 , 103,52 , 103,50,50 , 101,2 , 2,0 , 0,Sam Hughes,0,0 , 1,0,0,0,26 , 59,20 , 53,37,19 , 52,1 , 1,0 , 0
"December 12, 2020",Featherweight,SUB,3,3:02,Chase Hooper,0,0 , 6,0,0,2,81 , 144,57 , 117,48,55 , 115,0 , 0,2 , 2,Peter Barrett,0,0 , 0,--,0,0,61 , 100,48 , 87,55,48 , 86,0 , 1,0 , 0
"December 05, 2020",Middleweight,U-DEC,5,5:00,Marvin Vettori,0,2 , 7,28,0,1,139 , 365,122 , 346,35,118 , 339,4 , 7,0 , 0,Jack Hermansson,1,0 , 1,0,2,0,202 , 376,164 , 334,49,156 , 320,0 , 1,8 , 13
"December 05, 2020",Light Heavyweight,KO/TKO,2,3:37,Jamahal Hill,0,0 , 0,--,0,0,37 , 73,36 , 72,50,35 , 70,1 , 2,0 , 0,Ovince Saint Preux,0,0 , 0,--,0,0,68 , 128,68 , 128,53,62 , 120,6 , 8,0 , 0
"December 05, 2020",Lightweight,KO/TKO,1,4:06,Gabriel Benitez,1,0 , 0,--,0,0,38 , 104,38 , 104,36,34 , 99,0 , 0,4 , 5,Justin Jaynes,0,0 , 0,--,0,0,22 , 52,22 , 52,42,22 , 52,0 , 0,0 , 0
"December 05, 2020",Light Heavyweight,S-DEC,3,5:00,Roman Dolidze,0,3 , 5,60,3,3,118 , 205,51 , 109,46,47 , 100,1 , 1,3 , 8,John Allan,0,1 , 1,100,1,0,48 , 117,29 , 86,33,28 , 84,1 , 1,0 , 1
